region,avgBall2019,avgBall2020,higherBallInYear
Вінницька область                                 ,144.2399135446685879,146.2038922155688623,2020
Волинська область                                 ,149.5638610947616245,148.9681012658227848,2019
Дніпропетровська область                          ,142.9992305324715297,144.8533853511200604,2020
Донецька область                                  ,140.4481783919597990,141.3654955427372837,2020
Житомирська область                               ,143.8360427310729215,144.3995584988962472,2020
Закарпатська область                              ,144.5795321637426901,145.9906191369606004,2020
Запорізька область                                ,142.6015958962667427,144.5565588161524956,2020
Івано-Франківська область                         ,147.4247191011235955,150.5298763736263736,2020
Київська область                                  ,142.8632157316367843,145.9177440927329469,2020
Кіровоградська область                            ,144.6700636942675159,145.6896751740139211,2020
Луганська область                                 ,139.0964187327823691,139.9677182685253118,2020
Львівська область                                 ,150.2844141069397042,151.8837401249852612,2020
м.Київ                                            ,155.5688966550174738,155.2499140834421610,2019
Миколаївська область                              ,141.5262076053442960,142.2751790981879477,2020
Одеська область                                   ,143.7798360655737705,145.1110827048446887,2020
Полтавська область                                ,146.1309623430962343,146.5091420534458509,2020
Рівненська область                                ,144.7703003337041157,147.6981214504150284,2020
Сумська область                                   ,143.9053185271770894,145.6422722620266121,2020
Тернопільська область                             ,146.6095183486238532,150.1198552691090005,2020
Харківська область                                ,146.7584752909428234,148.0339526801229782,2020
Херсонська область                                ,141.5869311551925321,143.0694006309148265,2020
Хмельницька область                               ,145.3679538393253440,145.7793594306049822,2020
Черкаська область                                 ,144.3377001455604076,146.8841666666666667,2020
Чернівецька область                               ,150.2359667359667360,149.7109144542772861,2019
Чернігівська область                              ,143.9790772532188841,148.0349716446124764,2020
